towing-native-verifier FAILED: see docs/evidence/towing-native-verifier.log
Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

RSB_READY | Godot 4.7-stable (official) | region=320m | terrain_tiles=25 | streamed_window=25
RSB_BIKE | PASS | Loaded towing fixture mounts and hitches through normal interfaces | 
RSB_BIKE | PASS | Forward turn makes progress | travel=10.596
RSB_BIKE | PASS | Forward turn keeps bike and cart solids separated | penetrating frames=0
RSB_BIKE | PASS | Forward turn preserves the drawbar constraint | max gap=3.301
RSB_BIKE | PASS | Reverse turn makes progress | travel=4.885
RSB_BIKE | PASS | Reverse turn keeps bike and cart solids separated | penetrating frames=0
RSB_BIKE | PASS | Reverse turn preserves the drawbar constraint | max gap=1.811
RSB_BIKE | PASS | Forward recovery makes progress | travel=19.309
RSB_BIKE | PASS | Forward recovery keeps bike and cart solids separated | penetrating frames=0
RSB_BIKE | PASS | Forward recovery preserves the drawbar constraint | max gap=1.766
RSB_BIKE | PASS | Straight driving recovers from a tight reverse | travel=33.978
RSB_BIKE | FAIL | Recovered cart trails behind the bike | cart in bike frame=(-1.471719, 0.070004, -0.383509)
RSB_BIKE | PASS | Straight recovery keeps both vehicle solids separated | penetrating frames=0
RSB_BIKE | PASS | Loaded maneuvers conserve all cargo | 
RSB_BIKE | PASS | Cart can detach after reverse maneuvers | 
RSB_TOWING_REPORT {"elapsed_seconds":24.142,"milestone":"45 loaded towing maneuvers","passed":14,"platform":"macOS","tests":[{"detail":"","passed":true,"test":"Loaded towing fixture mounts and hitches through normal interfaces"},{"detail":"travel=10.596","passed":true,"test":"Forward turn makes progress"},{"detail":"penetrating frames=0","passed":true,"test":"Forward turn keeps bike and cart solids separated"},{"detail":"max gap=3.301","passed":true,"test":"Forward turn preserves the drawbar constraint"},{"detail":"travel=4.885","passed":true,"test":"Reverse turn makes progress"},{"detail":"penetrating frames=0","passed":true,"test":"Reverse turn keeps bike and cart solids separated"},{"detail":"max gap=1.811","passed":true,"test":"Reverse turn preserves the drawbar constraint"},{"detail":"travel=19.309","passed":true,"test":"Forward recovery makes progress"},{"detail":"penetrating frames=0","passed":true,"test":"Forward recovery keeps bike and cart solids separated"},{"detail":"max gap=1.766","passed":true,"test":"Forward recovery preserves the drawbar constraint"},{"detail":"travel=33.978","passed":true,"test":"Straight driving recovers from a tight reverse"},{"detail":"cart in bike frame=(-1.471719, 0.070004, -0.383509)","passed":false,"test":"Recovered cart trails behind the bike"},{"detail":"penetrating frames=0","passed":true,"test":"Straight recovery keeps both vehicle solids separated"},{"detail":"","passed":true,"test":"Loaded maneuvers conserve all cargo"},{"detail":"","passed":true,"test":"Cart can detach after reverse maneuvers"}],"total":15}

