Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

RSB_READY | Godot 4.7-stable (official) | region=320m | terrain_tiles=25 | streamed_window=25
RSB_BIKE | PASS | Tail fixture mounts on grounded motorcycle | 
RSB_BIKE | FAIL | Deployed aircraft collision covers its fin | 
RSB_BIKE | FAIL | Deployed aircraft collision covers its stabilizer | 
RSB_BIKE | FAIL | Deployed aircraft collision covers its propeller | 
RSB_BIKE | FAIL | Deployed aircraft collision covers its shaft | 
RSB_BIKE | FAIL | Tail obstruction prevents deployment despite clear wings | 
RSB_BIKE | PASS | Clearing rear space permits deployment | 
RSB_BIKE | FAIL | Visible rear assembly retains collision during its transition | progress=0.485
RSB_BIKE | FAIL | Reverse driving stops the rear assembly before a wall | reverse=1.724 overlapping samples=23
RSB_BIKE | PASS | Reset disables every aircraft collider | 
RSB_TAIL_CLEARANCE_REPORT {"elapsed_seconds":4.357,"milestone":"60 aircraft rear assembly collision","passed":3,"platform":"macOS","tests":[{"detail":"","passed":true,"test":"Tail fixture mounts on grounded motorcycle"},{"detail":"","passed":false,"test":"Deployed aircraft collision covers its fin"},{"detail":"","passed":false,"test":"Deployed aircraft collision covers its stabilizer"},{"detail":"","passed":false,"test":"Deployed aircraft collision covers its propeller"},{"detail":"","passed":false,"test":"Deployed aircraft collision covers its shaft"},{"detail":"","passed":false,"test":"Tail obstruction prevents deployment despite clear wings"},{"detail":"","passed":true,"test":"Clearing rear space permits deployment"},{"detail":"progress=0.485","passed":false,"test":"Visible rear assembly retains collision during its transition"},{"detail":"reverse=1.724 overlapping samples=23","passed":false,"test":"Reverse driving stops the rear assembly before a wall"},{"detail":"","passed":true,"test":"Reset disables every aircraft collider"}],"total":10}
